section	theme	fr	pos	en	zh	note	exemple
SANTE	症状	le rhume / la grippe	n.m./n.f.	cold / flu	感冒/流感	区分轻重	J'ai attrapé un gros rhume.
SANTE	症状	guérir / la guérison	v./n.f.	to recover / recovery	痊愈	康复表达	Il a mis trois semaines à guérir.
SANTE	健康生活	le bien-être	n.m.	well-being	身心健康	高分抽象名词	Les entreprises investissent dans le bien-être des employés.
SANTE	健康生活	le stress / stressant	n.m./adj.	stress / stressful	压力/有压力的	现代生活议题	Mon travail est très stressant en ce moment.
SANTE	健康生活	la sédentarité	n.f.	sedentary lifestyle	久坐少动	健康议论高分词	La sédentarité augmente les risques cardiovasculaires.
ARGENT	消费	la facture	n.f.	invoice / bill	账单/发票	Tâche 1 投诉题高频	J'ai reçu une facture incorrecte.
ARGENT	消费	le reçu	n.m.	receipt	收据	退货必需	Conservez votre reçu pour la garantie.
ARGENT	消费	la garantie	n.f.	warranty	保修	消费维权	L'appareil est encore sous garantie.
ARGENT	消费	le remboursement / rembourser	n.m./v.	refund / to refund	退款	投诉核心诉求	Je demande le remboursement intégral.
ARGENT	消费	l'échange	n.m.	exchange	换货	与退款并列	Le magasin propose un échange mais pas de remboursement.
ARGENT	消费	le rabais / la réduction	n.m./n.f.	discount	折扣	魁北克常用 rabais	Il y a un rabais de vingt pour cent cette semaine.
ARGENT	消费	les taxes	n.f.pl.	sales taxes	销售税	加拿大标价不含税	Le prix affiché ne comprend pas les taxes.
ARGENT	消费	l'inflation	n.f.	inflation	通货膨胀	时事必备	L'inflation atteint quatre pour cent.
ARGENT	保险	la prime / la franchise	n.f.	premium / deductible	保费/免赔额	北美保险两个核心概念	La franchise de ma police est de 500 dollars.
TRANSPORT	公共交通	le métro / l'autobus	n.m.	subway / bus	地铁/公交	魁北克说 autobus 全称	L'autobus 24 passe toutes les dix minutes.
TRANSPORT	公共交通	la correspondance	n.f.	transfer / connection	换乘	交通与航班双用	Il y a une correspondance à la station Berri.
TRANSPORT	公共交通	l'arrêt / la station	n.m./n.f.	stop / station	站点	arrêt 指公交，station 指地铁	Descendez au prochain arrêt.
TRANSPORT	公共交通	l'horaire	n.m.	schedule / timetable	时刻表	CO 公告题核心信息	Consultez l'horaire sur le site de la société de transport.
TRANSPORT	公共交通	la grève	n.f.	strike	罢工	法语区高频新闻	Une grève des transports est annoncée pour lundi.
TRANSPORT	驾车	l'immatriculation	n.f.	vehicle registration	车辆登记	SAAQ 业务	Le renouvellement de l'immatriculation se fait en ligne.
TRANSPORT	驾车	la contravention / le constat	n.f./n.m.	ticket / fine	罚单	违章	J'ai reçu une contravention pour excès de vitesse.
TRANSPORT	驾车	le covoiturage	n.m.	carpooling / ridesharing	拼车	环保与省钱议题，EO2 角色扮演考过	Le covoiturage réduit les coûts et la pollution.
TRANSPORT	驾车	les embouteillages / la congestion	n.m.pl./n.f.	traffic jams / congestion	交通拥堵	城市议题	Les embouteillages sont terribles aux heures de pointe.
TRANSPORT	出行	réserver / la réservation	v./n.f.	to book / booking	预订	EO2 角色扮演高频	J'aimerais réserver une chambre pour deux nuits.
TRANSPORT	出行	annuler / l'annulation	v./n.f.	to cancel / cancellation	取消	投诉与协商	Puis-je annuler sans frais ?
TRANSPORT	出行	le vol / le décollage / l'atterrissage	n.m.	flight / takeoff / landing	航班/起飞/降落	机场场景	Notre vol est retardé de deux heures.
TRANSPORT	出行	la douane	n.f.	customs	海关	入境场景	Il faut déclarer les aliments à la douane.
EDUCATION	学制	l'université / la faculté	n.f.	university / faculty	大学/院系	高等教育	Elle étudie à l'Université de Montréal.
EDUCATION	学制	s'inscrire / l'inscription	v./n.f.	to register / registration	注册	流程词	Les inscriptions se terminent le 15 août.
EDUCATION	学制	le diplôme / diplômé(e)	n.m./adj.	degree / graduate	文凭/毕业的	简历必备	Je suis diplômé en génie civil.
EDUCATION	学制	la formation	n.f.	training / education	培训/教育	万能词，比 éducation 常用	J'ai suivi une formation en comptabilité.
EDUCATION	学制	le stage / le stagiaire	n.m.	internship / intern	实习/实习生	不是 stage 舞台	J'ai fait un stage de six mois en entreprise.
EDUCATION	学制	l'apprentissage	n.m.	learning / apprenticeship	学习/学徒制	一词两义	L'apprentissage d'une langue demande du temps.
SOCIETE	社会议题	la société	n.f.	society	社会	Tâche 3 的 fait de société 就是指这个	Ce phénomène touche toute la société.
SOCIETE	社会议题	l'inégalité / les inégalités	n.f.	inequality	不平等	议论核心词	Les inégalités se creusent entre les régions.
SOCIETE	社会议题	la pauvreté	n.f.	poverty	贫困	社会议题	La pauvreté touche un enfant sur dix.
SOCIETE	社会议题	la diversité	n.f.	diversity	多样性	加拿大公共话语核心	La diversité est une richesse pour la société.
SOCIETE	社会议题	la laïcité	n.f.	secularism	世俗主义	魁北克敏感热点议题	Le débat sur la laïcité divise la population.
SOCIETE	社会议题	le bénévolat / le bénévole	n.m.	volunteering / volunteer	志愿服务/志愿者	加拿大社区生活核心	Le bénévolat favorise l'intégration sociale.
SOCIETE	社会议题	le vivre-ensemble	n.m.	social cohesion / living together	共同生活	魁北克特有的公共话语词	Le vivre-ensemble repose sur le respect mutuel.
SOCIETE	家庭	le conjoint / la conjointe	n.	spouse / partner	配偶	加拿大法律与表格常用	Mon conjoint travaille dans la santé.
ENVIRO	环境	l'environnement	n.m.	environment	环境	Tâche 3 高频主题	La protection de l'environnement est une priorité.
ENVIRO	环境	la pollution / polluer	n.f./v.	pollution / to pollute	污染	基础议题词	La pollution de l'air aggrave l'asthme.
ENVIRO	环境	la sensibilisation / sensibiliser	n.f./v.	awareness-raising	提高意识	公益活动固定词	La campagne vise à sensibiliser les jeunes.
NUMERIQUE	数字生活	le numérique	n.m.	digital / digital technology	数字技术	法语高频名词化	Le numérique transforme le monde du travail.
NUMERIQUE	数字生活	se connecter / la connexion	v./n.f.	to log in / connection	登录/连接	技术场景	Je n'arrive pas à me connecter à mon compte.
NUMERIQUE	数字生活	télécharger	v.	to download	下载	技术基础词	Téléchargez le formulaire sur le site.
NUMERIQUE	数字生活	la fraude / l'hameçonnage	n.f./n.m.	fraud / phishing	诈骗/钓鱼	魁北克用 hameçonnage 代替 phishing	Méfiez-vous des courriels d'hameçonnage.
NUMERIQUE	数字生活	l'automatisation	n.f.	automation	自动化	就业议题	L'automatisation menace certains emplois.
QUOTIDIEN	购物	l'épicerie / le supermarché	n.f./n.m.	grocery store / supermarket	杂货店/超市	加拿大常说 épicerie	Je vais à l'épicerie après le travail.
QUOTIDIEN	购物	la caisse / le caissier	n.f./n.m.	checkout / cashier	收银台/收银员	CO 场景高频	Passez à la caisse numéro trois.
QUOTIDIEN	购物	la taille / la pointure	n.f.	size (clothes) / size (shoes)	尺码/鞋码	两者不能混用，考点	Quelle est votre pointure ?
QUOTIDIEN	购物	la livraison / livrer	n.f./v.	delivery / to deliver	配送	网购与投诉	La livraison est gratuite à partir de 50 dollars.
QUOTIDIEN	购物	la commande / commander	n.f./v.	order / to order	订单/下单	客服场景	Ma commande n'est toujours pas arrivée.
QUOTIDIEN	餐饮	le menu / la carte	n.m./n.f.	set menu / à la carte menu	套餐/菜单	两者含义不同，考点	Nous prendrons le menu du jour.
QUOTIDIEN	餐饮	l'addition	n.f.	bill / check	账单	餐厅场景固定词	L'addition, s'il vous plaît !
QUOTIDIEN	餐饮	la végétarien(ne) / végétalien(ne)	adj.	vegetarian / vegan	素食的/纯素的	饮食议题	Je suis végétarien depuis cinq ans.
QUOTIDIEN	天气	la météo / les prévisions	n.f.	weather / forecast	天气/预报	CO 广播题高频	Selon la météo, il va neiger demain.
QUOTIDIEN	天气	la pluie / la neige / le vent	n.f./n.m.	rain / snow / wind	雨/雪/风	基础天气词	La neige commencera en soirée.
QUOTIDIEN	休闲	les loisirs	n.m.pl.	leisure activities	休闲活动	EO1 必问	Quels sont vos loisirs ?
QUOTIDIEN	休闲	la bibliothèque	n.f.	library	图书馆	社区资源，非 librairie 书店	La bibliothèque offre des ateliers gratuits.
VERBES	高频动词	constater	v.	to observe / to note	发现/注意到	书面高分	J'ai constaté une erreur sur ma facture.
VERBES	高频动词	signaler	v.	to report / to flag	反映/报告	投诉高分动词	Je souhaite signaler un problème récurrent.
VERBES	高频动词	régler	v.	to settle / to fix	解决/付清	一词两义	J'espère que ce problème sera réglé rapidement.
VERBES	高频动词	joindre	v.	to reach (someone) / to attach	联系上/附上	双义高频	Vous pouvez me joindre au numéro suivant.
VERBES	高频动词	renseigner / se renseigner	v.	to inform / to find out	告知/打听	EO2 核心动词	Je me suis renseigné auprès de la mairie.
VERBES	高频动词	favoriser	v.	to promote / to encourage	促进	议论高分动词	Le télétravail favorise l'autonomie.
VERBES	高频动词	renforcer	v.	to strengthen	加强	议论高分动词	Il faut renforcer les services publics.
VERBES	高频动词	réduire / diminuer	v.	to reduce / to decrease	减少	数据与政策	Cette mesure vise à réduire les coûts.
VERBES	高频动词	augmenter / accroître	v.	to increase	增加	accroître 更书面	Le nombre de demandes a fortement augmenté.
PIEGES	假朋友	actuellement	adv.	currently (NOT actually)	目前（不是实际上）	actually 是 en fait	Actuellement, je cherche un emploi.
PIEGES	假朋友	éventuellement	adv.	possibly (NOT eventually)	可能（不是最终）	eventually 是 finalement	Je pourrai éventuellement vous aider.
PIEGES	假朋友	sensible	adj.	sensitive (NOT sensible)	敏感的（不是明智的）	sensible 英文对应 raisonnable	C'est un sujet sensible.
PIEGES	假朋友	la librairie	n.f.	bookshop (NOT library)	书店（不是图书馆）	library 是 bibliothèque	J'ai acheté ce livre à la librairie.
PIEGES	假朋友	le collège	n.m.	middle school (in France) / college (in Quebec)	初中/学院	魁北克与法国含义不同，考点	Au Québec, le cégep vient après le secondaire.
PIEGES	假朋友	la monnaie	n.f.	change / currency (NOT money)	零钱/货币	money 是 l'argent	Gardez la monnaie.
PIEGES	假朋友	demander	v.	to ask (NOT to demand)	询问/请求	demand 是 exiger	Je vous demande de patienter.
COCE	公告用语	le préavis	n.m.	advance notice	提前通知期	与劳动合同的 préavis 同词不同语境，此处指规章要求的提前告知	Un préavis de trente jours est exigé pour résilier le bail.
COCE	正式文件	le formulaire	n.m.	form	表格	办事流程	Remplissez le formulaire en ligne.
COCE	正式文件	le renouvellement / renouveler	n.m./v.	renewal / to renew	续期	证件与租约	Le renouvellement du permis se fait en ligne.
CONJUG	核心不规则	être	v.	to be	是	je suis, tu es, il est, nous sommes, vous êtes, ils sont ; PC été ; imp. j'étais ; fut. je serai ; subj. que je sois	Je suis originaire de Chine.
CONJUG	核心不规则	avoir	v.	to have	有	j'ai, tu as, il a, nous avons, vous avez, ils ont ; PC eu ; imp. j'avais ; fut. j'aurai ; subj. que j'aie	J'ai deux enfants.
CONJUG	核心不规则	aller	v.	to go	去	je vais, tu vas, il va, nous allons, vous allez, ils vont ; fut. j'irai ; subj. que j'aille ; PC 用 être	Je vais au travail en autobus.
CONJUG	核心不规则	faire	v.	to do / to make	做	je fais, nous faisons, vous faites, ils font ; PC fait ; fut. je ferai ; subj. que je fasse	Je fais du sport le matin.
CONJUG	核心不规则	pouvoir	v.	to be able to	能够	je peux, il peut, nous pouvons, ils peuvent ; fut. je pourrai ; cond. je pourrais ; subj. que je puisse	Pourriez-vous m'aider ?
CONJUG	核心不规则	vouloir	v.	to want	想要	je veux, il veut, nous voulons, ils veulent ; cond. je voudrais ; subj. que je veuille	Je voudrais réserver une place.
CONJUG	核心不规则	devoir	v.	must / to owe	必须	je dois, il doit, nous devons, ils doivent ; cond. je devrais ; PC dû	Je dois partir maintenant.
CONJUG	核心不规则	savoir	v.	to know (a fact)	知道	je sais, il sait, nous savons, ils savent ; subj. que je sache ; PC su	Je sais qu'il faut s'inscrire en ligne.
CONJUG	核心不规则	connaître	v.	to know (be familiar with)	认识	je connais, il connaît, nous connaissons ; PC connu ; 与 savoir 的区别是考点	Je connais bien ce quartier.
CONJUG	核心不规则	venir	v.	to come	来	je viens, il vient, nous venons, ils viennent ; fut. je viendrai ; PC 用 être	Je viens de Shanghai.
CONJUG	核心不规则	prendre	v.	to take	拿/乘坐	je prends, il prend, nous prenons, ils prennent ; PC pris	Je prends le métro tous les jours.
CONJUG	核心不规则	mettre	v.	to put	放	je mets, il met, nous mettons ; PC mis	J'ai mis les documents sur votre bureau.
CONJUG	核心不规则	dire	v.	to say	说	je dis, nous disons, vous dites, ils disent ; PC dit	Il m'a dit qu'il serait en retard.
CONJUG	核心不规则	voir	v.	to see	看见	je vois, nous voyons, ils voient ; fut. je verrai ; PC vu	Je vois ce que vous voulez dire.
CONJUG	核心不规则	croire	v.	to believe	相信	je crois, nous croyons, ils croient ; PC cru ; 否定后接虚拟式	Je ne crois pas que ce soit une bonne idée.
CONJUG	核心不规则	écrire	v.	to write	写	j'écris, nous écrivons ; PC écrit	Je vous écris au sujet de l'annonce.
CONJUG	核心不规则	lire	v.	to read	读	je lis, nous lisons, ils lisent ; PC lu	J'ai lu votre courriel ce matin.
CONJUG	核心不规则	recevoir	v.	to receive	收到	je reçois, nous recevons, ils reçoivent ; PC reçu ; 注意 ç	J'ai reçu votre message hier.
CONJUG	核心不规则	falloir	v.	to be necessary	必须	无人称：il faut ; fut. il faudra ; subj. qu'il faille ; il faut que + 虚拟式	Il faut que je parte tôt.
CONJUG	核心不规则	valoir	v.	to be worth	值得	il vaut ; il vaut mieux que + 虚拟式	Il vaut mieux que vous réserviez à l'avance.
CONJUG	核心不规则	s'asseoir	v.	to sit down	坐下	je m'assois 或 je m'assieds ; PC assis ; 反身动词用 être	Asseyez-vous, je vous en prie.
CONJUG	核心不规则	offrir / ouvrir	v.	to offer / to open	提供/打开	按 -er 动词变位：j'offre, j'ouvre ; PC offert, ouvert	Le centre offre des cours gratuits.
CONJUG	核心不规则	partir / sortir / dormir	v.	to leave / go out / sleep	离开/出去/睡觉	je pars, je sors, je dors（去掉词干末辅音）; partir 和 sortir 的 PC 用 être	Je pars à sept heures.
CONJUG	核心不规则	suivre	v.	to follow / to take (a course)	跟随/上课	je suis, nous suivons ; PC suivi ; 注意 je suis 与 être 同形	Je suis des cours de francisation.
CONJUG	核心不规则	vivre	v.	to live	生活	je vis, nous vivons ; PC vécu ; 与 habiter 的区别：vivre 更抽象	Je vis au Canada depuis deux ans.
CONJUG	时态用法	imparfait	gram.	imperfect tense	未完成过去时	描写背景、状态、习惯动作。与 PC 的对立是 EE 最大扣分点	Il pleuvait et je ne connaissais personne.
CONJUG	时态用法	plus-que-parfait	gram.	pluperfect	愈过去时	表示过去的过去：avais/étais + 过去分词。NCLC 7 需会认，会用更好	J'avais déjà envoyé le formulaire quand il m'a appelé.
CONJUG	代词	en / y	gram.	pronouns en and y	代词 en 和 y	en 代替 de + 名词，y 代替 à + 名词或地点	J'y pense souvent. J'en ai besoin.
CONJUG	被动与无人称	on	pron.	one / we / people	人们/我们	口语代替 nous，也表被动含义，EO 高频	On nous a dit que c'était complet.
GENRE	阳性词尾	-ment	gram.	masculine ending	阳性词尾	le logement, le gouvernement, le paiement, le document — 几乎无例外	Le logement coûte cher en ville.
GENRE	阳性词尾	-age	gram.	masculine ending	阳性词尾	le voyage, le stationnement 不算, le chômage, le message — 例外：la plage, la page, l'image, la cage	Le chômage a baissé cette année.
GENRE	阳性词尾	-eau / -ou	gram.	masculine ending	阳性词尾	le bureau, le niveau, le cadeau — 例外：l'eau (f.), la peau	Le niveau de vie est élevé ici.
GENRE	阳性词尾	-isme	gram.	masculine ending	阳性词尾	le tourisme, le bilinguisme, le racisme — 无例外	Le bilinguisme est une richesse.
GENRE	阳性词尾	-eur（事物/职业）	gram.	masculine ending	阳性词尾	le secteur, l'ordinateur, le travailleur — 但抽象名词 -eur 多为阴性	Le secteur de la santé recrute.
GENRE	阳性词尾	-oir	gram.	masculine ending	阳性词尾	le devoir, le pouvoir, le couloir, le trottoir	Le trottoir est glissant ce matin.
GENRE	阳性词尾	-al / -ail	gram.	masculine ending	阳性词尾	le journal, le travail, le total — 复数 -aux	Le journal local a publié l'annonce.
GENRE	阳性词尾	-if	gram.	masculine ending	阳性词尾	l'objectif, le tarif, le motif	Quel est le tarif mensuel ?
GENRE	阴性词尾	-tion / -sion	gram.	feminine ending	阴性词尾	la situation, la formation, la décision, la pension — 几乎无例外，覆盖极多抽象名词	La formation dure six mois.
GENRE	阴性词尾	-té / -tié	gram.	feminine ending	阴性词尾	la société, la qualité, la citoyenneté, l'amitié — 例外：le côté, l'été	La qualité du service laisse à désirer.
GENRE	阴性词尾	-ure	gram.	feminine ending	阴性词尾	la culture, la nature, la structure, la signature	La signature du bail est prévue demain.
GENRE	阴性词尾	-ance / -ence	gram.	feminine ending	阴性词尾	l'assurance, l'expérience, la différence — 例外：le silence, le service 不属此类	L'assurance habitation est obligatoire.
GENRE	阴性词尾	-ette / -elle	gram.	feminine ending	阴性词尾	la recette, la nouvelle, la poubelle	Sortez la poubelle ce soir.
GENRE	阴性词尾	-ie	gram.	feminine ending	阴性词尾	la pharmacie, l'économie, la garderie, la mairie — 例外：le parapluie, l'incendie	La garderie ouvre à sept heures.
GENRE	阴性词尾	-esse / -eur（抽象）	gram.	feminine ending	阴性词尾	la richesse, la vitesse ; la chaleur, la douleur, la peur	La chaleur est difficile à supporter.
GENRE	阴性词尾	-ade / -ude	gram.	feminine ending	阴性词尾	la salade, l'habitude, l'attitude, la solitude	J'ai l'habitude de me lever tôt.
GENRE	易错阳性	le problème	n.m.	problem	问题	以 -ème 结尾的希腊来源词是阳性：le système, le thème, le poème	Le problème persiste depuis un mois.
GENRE	易错阳性	le groupe	n.m.	group	团体	结尾 -e 但阳性，中国学习者高频错	Le groupe se réunit chaque semaine.
GENRE	易错阳性	le domaine	n.m.	field / area	领域	结尾 -e 但阳性	Je travaille dans le domaine de la santé.
GENRE	易错阳性	le salaire	n.m.	salary	工资	-aire 多为阳性：le formulaire, le propriétaire, le dictionnaire	Le salaire est versé le quinze.
