# ipa-fr-manual.tsv —— 手写音标，build-data 合并时优先于 ipa-fr.tsv
# build:ipa 不会覆盖这份表。收录词典查不到的单词（省音、连字符词、缩写、魁北克词）和所有多词语块
# 短语按实际读法转写，‿ 标联诵（les‿enfants /lez‿ɑ̃fɑ̃/）；单词表里的名词沿用 ipa-fr.tsv 惯例不带冠词，短语表带冠词
# 占位符写成 …
# 以标准加拿大法语为准：区分 /a/–/ɑ/（relâche /ʁəlɑʃ/）、/ɛ/–/ɛː/（tempête /tɑ̃pɛːt/）、/ɛ̃/–/œ̃/；塞擦化等自动音变不标
# 格式：<词条><TAB><音标>，词条须与 _src.psv 第 3 列完全一致
le pergélisol	/pɛʁʒelisɔl/
la réinitialisation	/ʁeinisjalizasjɔ̃/
se désabonner	/sə dezabɔne/
l'infolettre	/ɛ̃fɔlɛtʁ/
le chiffrement	/ʃifʁəmɑ̃/
l'influenceur	/ɛ̃flyɑ̃sœʁ/
la requalification	/ʁəkalifikasjɔ̃/
le sans-papier（无纸化）	/sɑ̃papje/
la cyberdépendance	/sibɛʁdepɑ̃dɑ̃s/
le passe-temps	/pastɑ̃/
l'abonnement / s'abonner	/abɔnmɑ̃/ / /sabɔne/
Je m'appelle… et je viens de…	/ʒə mapɛl … e ʒə vjɛ̃ də …/
Je suis originaire de	/ʒə sɥiz‿ɔʁiʒinɛʁ də/
Cela fait … que	/səla fɛ … kə/
Je travaille en tant que	/ʒə tʁavaj ɑ̃ tɑ̃ kə/
Je suis passionné(e) par	/ʒə sɥi pasjɔne paʁ/
Ce qui me plaît le plus, c'est	/sə ki mə plɛ lə plys sɛ/
dans mon temps libre	/dɑ̃ mɔ̃ tɑ̃ libʁ/
avoir l'habitude de	/avwaʁ labityd də/
depuis mon arrivée	/dəpɥi mɔ̃n‿aʁive/
mon projet, c'est de	/mɔ̃ pʁɔʒɛ sɛ də/
avoir envie de	/avwaʁ ɑ̃vi də/
Pour répondre à votre question	/puʁ ʁepɔ̃dʁ a vɔtʁ kɛstjɔ̃/
Si je comprends bien	/si ʒə kɔ̃pʁɑ̃ bjɛ̃/
Pourriez-vous répéter, s'il vous plaît?	/puʁje vu ʁepete sil vu plɛ/
Je voudrais avoir des renseignements sur	/ʒə vudʁɛ‿avwaʁ de ʁɑ̃sɛɲmɑ̃ syʁ/
Est-ce que vous pourriez me dire…	/ɛs kə vu puʁje mə diʁ …/
J'aimerais savoir si	/ʒɛmʁɛ savwaʁ si/
Quels sont les horaires?	/kɛl sɔ̃ lez‿ɔʁɛʁ/
Combien ça coûte? / Quel est le tarif?	/kɔ̃bjɛ̃ sa kut/ / /kɛl ɛ lə taʁif/
Est-ce qu'il y a des frais supplémentaires?	/ɛs kil ja de fʁɛ syplemɑ̃tɛʁ/
Est-ce qu'il faut réserver à l'avance?	/ɛs kil fo ʁezɛʁve a lavɑ̃s/
Qu'est-ce que vous me conseillez?	/kɛs kə vu mə kɔ̃seje/
Y a-t-il une autre possibilité?	/i a til yn otʁ pɔsibilite/
Ça vous convient? / Est-ce que ça vous irait?	/sa vu kɔ̃vjɛ̃/ / /ɛs kə sa vuz‿iʁɛ/
Je vous propose de	/ʒə vu pʁɔpoz də/
Et si on…（+ 未完成过去时）	/e si ɔ̃ …/
Ce serait possible de	/sə səʁɛ pɔsibl də/
Ça ne vous dérange pas si	/sa nə vu deʁɑ̃ʒ pa si/
Je préférerais plutôt	/ʒə pʁefeʁəʁɛ plyto/
On pourrait peut-être	/ɔ̃ puʁɛ pøtɛːtʁ/
Ça marche! / C'est entendu.	/sa maʁʃ/ / /sɛt‿ɑ̃tɑ̃dy/
Volontiers! / Avec plaisir!	/vɔlɔ̃tje/ / /avɛk pleziʁ/
Ça me convient parfaitement	/sa mə kɔ̃vjɛ̃ paʁfɛtmɑ̃/
Je suis désolé(e), mais je ne peux pas	/ʒə sɥi dezɔle mɛ ʒə nə pø pa/
Malheureusement, j'ai déjà quelque chose de prévu	/malœʁøzmɑ̃ ʒe deʒa kɛlkə ʃoz də pʁevy/
Ça m'arrangerait plutôt	/sa maʁɑ̃ʒʁɛ plyto/
Je vais y réfléchir	/ʒə vɛ i ʁefleʃiʁ/
Ça m'embête un peu	/sa mɑ̃bɛːt œ̃ pø/
Je suis vraiment déçu(e)	/ʒə sɥi vʁɛmɑ̃ desy/
Je vous remercie infiniment	/ʒə vu ʁəmɛʁsi ɛ̃finimɑ̃/
Ce n'est pas grave	/sə nɛ pa gʁav/
Je comprends tout à fait	/ʒə kɔ̃pʁɑ̃ tut‿a fɛ/
De nos jours	/də no ʒuʁ/
Il est indéniable que	/il ɛt‿ɛ̃denjabl kə/
La question de … fait débat	/la kɛstjɔ̃ də … fɛ deba/
Ce sujet suscite de vives réactions	/sə syʒɛ sysit də viv ʁeaksjɔ̃/
Il convient de s'interroger sur	/il kɔ̃vjɛ̃ də sɛ̃teʁɔʒe syʁ/
À mon avis / Selon moi	/a mɔ̃n‿avi/ / /səlɔ̃ mwa/
Je suis convaincu(e) que	/ʒə sɥi kɔ̃vɛ̃ky kə/
Personnellement, je pense que	/pɛʁsɔnɛlmɑ̃ ʒə pɑ̃s kə/
Je partage plutôt le point de vue de	/ʒə paʁtaʒ plyto lə pwɛ̃ də vy də/
Je suis pour / contre	/ʒə sɥi puʁ/ / /ʒə sɥi kɔ̃tʁ/
Il me semble que	/il mə sɑ̃bl kə/
Je ne suis pas tout à fait d'accord	/ʒə nə sɥi pa tut‿a fɛ dakɔʁ/
prendre position	/pʁɑ̃dʁ pozisjɔ̃/
Le premier document souligne que	/lə pʁəmje dɔkymɑ̃ suliɲ kə/
L'auteur affirme que	/lotœʁ afiʁm kə/
met en avant	/mɛt‿ɑ̃n‿avɑ̃/
nuance son propos	/nɥɑ̃s sɔ̃ pʁɔpo/
s'oppose à	/sɔpoz a/
rejoint l'idée de	/ʁəʒwɛ̃ lide də/
D'une part … d'autre part	/dyn paʁ … dotʁ paʁ/
Tout d'abord … Ensuite … Enfin	/tu dabɔʁ … ɑ̃sɥit … ɑ̃fɛ̃/
En premier lieu / En second lieu	/ɑ̃ pʁəmje ljø/ / /ɑ̃ səgɔ̃ ljø/
De plus / Par ailleurs	/də plys/ / /paʁ ajœʁ/
Non seulement … mais aussi	/nɔ̃ sœlmɑ̃ … mɛz‿osi/
Prenons l'exemple de	/pʁənɔ̃ lɛgzɑ̃pl də/
C'est le cas de	/sɛ lə ka də/
En effet	/ɑ̃n‿efɛ/
Autrement dit	/otʁəmɑ̃ di/
Cela s'explique par	/səla sɛksplik paʁ/
Certes … mais	/sɛʁt … mɛ/
Il est vrai que … cependant	/il ɛ vʁɛ kə … səpɑ̃dɑ̃/
En revanche / Par contre	/ɑ̃ ʁəvɑ̃ʃ/ / /paʁ kɔ̃tʁ/
Bien que + 虚拟式	/bjɛ̃ kə …/
Même si + 直陈式	/mɛːm si …/
Malgré + 名词	/malgʁe …/
Par conséquent / Ainsi	/paʁ kɔ̃sekɑ̃/ / /ɛ̃si/
C'est pourquoi	/sɛ puʁkwa/
Étant donné que	/etɑ̃ dɔne kə/
Grâce à / À cause de	/gʁɑs a/ / /a koz də/
avoir des répercussions sur	/avwaʁ de ʁepɛʁkysjɔ̃ syʁ/
En conclusion / Pour conclure	/ɑ̃ kɔ̃klyzjɔ̃/ / /puʁ kɔ̃klyʁ/
En somme / En définitive	/ɑ̃ sɔm/ / /ɑ̃ definitiv/
il serait souhaitable de	/il səʁɛ swɛtabl də/
un juste équilibre entre	/œ̃ ʒyst ekilibʁ ɑ̃tʁ/
à condition que + 虚拟式	/a kɔ̃disjɔ̃ kə …/
Cher Monsieur / Chère Madame	/ʃɛʁ məsjø/ / /ʃɛʁ madam/
Salut + 名字	/saly …/
Bonjour à tous	/bɔ̃ʒuʁ a tus/
Je t'écris pour te parler de	/ʒə tekʁi puʁ tə paʁle də/
Je vous écris afin de	/ʒə vuz‿ekʁi afɛ̃ də/
J'espère que tu vas bien	/ʒɛspɛʁ kə ty va bjɛ̃/
Je me permets de vous contacter au sujet de	/ʒə mə pɛʁmɛ də vu kɔ̃takte o syʒɛ də/
Suite à notre conversation	/sɥit a nɔtʁ kɔ̃vɛʁsasjɔ̃/
Pourriez-vous me faire savoir	/puʁje vu mə fɛʁ savwaʁ/
Je vous serais reconnaissant(e) de	/ʒə vu səʁɛ ʁəkɔnɛsɑ̃ də/ / /ʒə vu səʁɛ ʁəkɔnɛsɑ̃t də/
Je vous prie de bien vouloir	/ʒə vu pʁi də bjɛ̃ vulwaʁ/
Serait-il possible de	/səʁɛ til pɔsibl də/
J'aimerais que + 虚拟式	/ʒɛmʁɛ kə …/
Je suis vraiment désolé(e) de	/ʒə sɥi vʁɛmɑ̃ dezɔle də/
Veuillez m'excuser pour	/vœje mɛkskyze puʁ/
Je vous prie de m'excuser	/ʒə vu pʁi də mɛkskyze/
Je tiens à vous signaler que	/ʒə tjɛ̃ a vu siɲale kə/
à plusieurs reprises	/a plyzjœʁ ʁəpʁiz/
sans succès / en vain	/sɑ̃ syksɛ/ / /ɑ̃ vɛ̃/
Je compte sur vous pour	/ʒə kɔ̃t syʁ vu puʁ/
dans les meilleurs délais	/dɑ̃ le mɛjœʁ delɛ/
Dans l'attente de votre réponse	/dɑ̃ latɑ̃t də vɔtʁ ʁepɔ̃s/
N'hésite pas à me contacter	/nezit pa a mə kɔ̃takte/
Je reste à votre disposition	/ʒə ʁɛst a vɔtʁ dispozisjɔ̃/
Bien à toi / Bien à vous	/bjɛ̃n‿a twa/ / /bjɛ̃n‿a vu/
Je vous prie d'agréer mes salutations distinguées	/ʒə vu pʁi dagʁee me salytasjɔ̃ distɛ̃ge/
À bientôt! / Bisous	/a bjɛ̃to/ / /bizu/
Il y a quelques mois	/il ja kɛlkə mwa/
Au début / Au bout de	/o deby/ / /o bu də/
Ce jour-là	/sə ʒuʁ la/
Soudain / Tout à coup	/sudɛ̃/ / /tut‿a ku/
Ce qui m'a le plus marqué(e), c'est	/sə ki ma lə plys maʁke sɛ/
J'ai été agréablement surpris(e) par	/ʒe ete agʁeabləmɑ̃ syʁpʁi paʁ/ / /ʒe ete agʁeabləmɑ̃ syʁpʁiz paʁ/
Avec le recul	/avɛk lə ʁəkyl/
Cette expérience m'a appris que	/sɛt‿ɛkspeʁjɑ̃s ma apʁi kə/
Je recommande vivement	/ʒə ʁəkɔmɑ̃d vivmɑ̃/
il s'agit de	/il saʒi də/
mettre en place	/mɛtʁ ɑ̃ plas/
faire face à	/fɛʁ fas a/
tenir compte de	/təniʁ kɔ̃t də/
avoir recours à	/avwaʁ ʁəkuʁ a/
permettre de + 原形	/pɛʁmɛtʁ də …/
empêcher de + 原形	/ɑ̃peʃe də …/
la fin de semaine	/la fɛ̃ də səmɛn/
Service Canada	/sɛʁvis kanada/
la commission scolaire / le centre de services scolaire	/la kɔmisjɔ̃ skɔlɛʁ/ / /lə sɑ̃tʁ də sɛʁvis skɔlɛʁ/
la résidence permanente	/la ʁezidɑ̃s pɛʁmanɑ̃t/
le résident permanent	/lə ʁezidɑ̃ pɛʁmanɑ̃/
la citoyenneté canadienne	/la sitwajɛnte kanadjɛn/
le permis de travail	/lə pɛʁmi də tʁavaj/
le nouvel arrivant	/lə nuvɛl‿aʁivɑ̃/
l'équivalence de diplôme	/lekivalɑ̃s də diplom/
l'ordre professionnel	/lɔʁdʁ pʁɔfesjɔnɛl/
le congé parental	/lə kɔ̃ʒe paʁɑ̃tal/
les allocations familiales	/lez‿alɔkasjɔ̃ familjal/
la déclaration de revenus	/la deklaʁasjɔ̃ də ʁəvəny/
le salaire minimum	/lə salɛʁ minimɔm/
la tempête de neige	/la tɑ̃pɛːt də nɛʒ/
la pelle à neige	/la pɛl a nɛʒ/
les pneus d'hiver	/le pnø divɛʁ/
le facteur vent / le refroidissement éolien	/lə faktœʁ vɑ̃/ / /lə ʁəfʁwadismɑ̃ eɔljɛ̃/
la cabane à sucre	/la kaban a sykʁ/
le sirop d'érable	/lə siʁo deʁabl/
les Premières Nations / les Autochtones	/le pʁəmjɛʁ nasjɔ̃/ / /lez‿otɔktɔn/
la Loi 101 / la Charte de la langue française	/la lwa sɑ̃ œ̃/ / /la ʃaʁt də la lɑ̃g fʁɑ̃sɛz/
l'offre d'emploi	/lɔfʁ dɑ̃plwa/
le curriculum vitæ / le CV	/lə kyʁikylɔm vite/ / /lə seve/
la lettre de motivation	/la lɛtʁ də mɔtivasjɔ̃/
poser sa candidature / postuler	/poze sa kɑ̃didatyʁ/ / /pɔstyle/
l'entretien d'embauche / l'entrevue	/lɑ̃tʁətjɛ̃ dɑ̃boʃ/ / /lɑ̃tʁəvy/
l'expérience professionnelle	/lɛkspeʁjɑ̃s pʁɔfesjɔnɛl/
la période d'essai	/la peʁjɔd desɛ/
le contrat à durée indéterminée (CDI)	/lə kɔ̃tʁa a dyʁe ɛ̃detɛʁmine/ / /sedei/
le contrat à durée déterminée (CDD)	/lə kɔ̃tʁa a dyʁe detɛʁmine/ / /sedede/
à temps plein / à temps partiel	/a tɑ̃ plɛ̃/ / /a tɑ̃ paʁsjɛl/
le salaire brut / net	/lə salɛʁ bʁyt/ / /lə salɛʁ nɛt/
les heures supplémentaires	/lez‿œʁ syplemɑ̃tɛʁ/
les avantages sociaux	/lez‿avɑ̃taʒ sɔsjo/
le congé payé	/lə kɔ̃ʒe peje/
le congé de maladie	/lə kɔ̃ʒe də maladi/
le supérieur hiérarchique / le patron	/lə sypeʁjœʁ jeʁaʁʃik/ / /lə patʁɔ̃/
la charge de travail	/la ʃaʁʒ də tʁavaj/
la date limite / l'échéance	/la dat limit/ / /leʃeɑ̃s/
l'ordre du jour	/lɔʁdʁ dy ʒuʁ/
le compte rendu	/lə kɔ̃t ʁɑ̃dy/
remplacer quelqu'un	/ʁɑ̃plase kɛlkœ̃/
le mode hybride	/lə mɔd ibʁid/
l'horaire flexible	/lɔʁɛʁ flɛksibl/
la conciliation travail-famille	/la kɔ̃siljasjɔ̃ tʁavaj famij/
licencier / mettre à pied	/lisɑ̃sje/ / /mɛtʁ a pje/
la discrimination à l'embauche	/la diskʁiminasjɔ̃ a lɑ̃boʃ/
l'épuisement professionnel	/lepɥizmɑ̃ pʁɔfesjɔnɛl/
la santé et la sécurité au travail	/la sɑ̃te e la sekyʁite o tʁavaj/
la pénurie de main-d'œuvre	/la penyʁi də mɛ̃dœvʁ/
la caution / le dépôt de garantie	/la kosjɔ̃/ / /lə depo də gaʁɑ̃ti/
meublé / non meublé	/mœble/ / /nɔ̃ mœble/
un quatre et demi	/œ̃ katʁ e dəmi/
visiter un appartement	/vizite œ̃n‿apaʁtəmɑ̃/
la petite annonce	/la pətit‿anɔ̃s/
la fuite d'eau	/la fɥit do/
la panne / en panne	/la pan/ / /ɑ̃ pan/
le bruit / le tapage nocturne	/lə bʁɥi/ / /lə tapaʒ nɔktyʁn/
porter plainte	/pɔʁte plɛ̃t/
le règlement de l'immeuble	/lə ʁɛgləmɑ̃ də limœbl/
acheter une maison	/aʃte yn mɛzɔ̃/
la mise de fonds	/la miz də fɔ̃/
les taxes municipales	/le taks mynisipal/
le courtier immobilier	/lə kuʁtje imɔbilje/
la crise du logement	/la kʁiz dy lɔʒmɑ̃/
le logement abordable	/lə lɔʒmɑ̃ abɔʁdabl/
prendre rendez-vous	/pʁɑ̃dʁ ʁɑ̃devu/
le médecin de famille	/lə medsɛ̃ də famij/
la clinique sans rendez-vous	/la klinik sɑ̃ ʁɑ̃devu/
la carte d'assurance maladie	/la kaʁt dasyʁɑ̃s maladi/
la liste d'attente	/la list datɑ̃t/
se faire vacciner / la vaccination	/sə fɛʁ vaksine/ / /la vaksinasjɔ̃/
tomber malade	/tɔ̃be malad/
avoir mal à	/avwaʁ mal a/
avoir de la fièvre	/avwaʁ də la fjɛvʁ/
les effets secondaires	/lez‿efɛ səgɔ̃dɛʁ/
la maladie chronique	/la maladi kʁɔnik/
la santé mentale	/la sɑ̃te mɑ̃tal/
l'alimentation équilibrée	/lalimɑ̃tasjɔ̃ ekilibʁe/
faire de l'exercice / du sport	/fɛʁ də lɛgzɛʁsis/ / /fɛʁ dy spɔʁ/
le système de santé public	/lə sistɛm də sɑ̃te pyblik/
le vieillissement de la population	/lə vjejismɑ̃ də la pɔpylasjɔ̃/
le compte bancaire / le compte chèque	/lə kɔ̃t bɑ̃kɛʁ/ / /lə kɔ̃t ʃɛk/
la carte de débit / de crédit	/la kaʁt də debi/ / /la kaʁt də kʁedi/
le virement / le virement Interac	/lə viʁmɑ̃/ / /lə viʁmɑ̃ ɛ̃teʁak/
le dépôt direct	/lə depo diʁɛkt/
retirer / déposer de l'argent	/ʁətiʁe də laʁʒɑ̃/ / /depoze də laʁʒɑ̃/
les frais bancaires	/le fʁɛ bɑ̃kɛʁ/
le taux d'intérêt	/lə to dɛ̃teʁɛ/
le dossier de crédit	/lə dosje də kʁedi/
le coût de la vie	/lə ku də la vi/
le pouvoir d'achat	/lə puvwaʁ daʃa/
le budget / gérer son budget	/lə bydʒɛ/ / /ʒeʁe sɔ̃ bydʒɛ/
l'assurance habitation / automobile	/lasyʁɑ̃s abitasjɔ̃/ / /lasyʁɑ̃s otɔmɔbil/
faire une réclamation	/fɛʁ yn ʁeklamasjɔ̃/
le transport en commun	/lə tʁɑ̃spɔʁ ɑ̃ kɔmœ̃/
le tarif / le titre de transport	/lə taʁif/ / /lə titʁ də tʁɑ̃spɔʁ/
le retard / être en retard	/lə ʁətaʁ/ / /ɛːtʁ ɑ̃ ʁətaʁ/
accessible aux personnes à mobilité réduite	/aksesibl o pɛʁsɔn a mɔbilite ʁedɥit/
le permis de conduire	/lə pɛʁmi də kɔ̃dɥiʁ/
l'excès de vitesse	/lɛksɛ də vitɛs/
l'heure de pointe	/lœʁ də pwɛ̃t/
le billet aller-retour	/lə bijɛ ale ʁətuʁ/
les bagages / le bagage à main	/le bagaʒ/ / /lə bagaʒ a mɛ̃/
l'école primaire / secondaire	/lekɔl pʁimɛʁ/ / /lekɔl səgɔ̃dɛʁ/
les frais de scolarité	/le fʁɛ də skɔlaʁite/
la bourse d'études	/la buʁs detyd/
la formation continue	/la fɔʁmasjɔ̃ kɔ̃tiny/
le décrochage scolaire	/lə dekʁɔʃaʒ skɔlɛʁ/
l'uniforme scolaire	/lynifɔʁm skɔlɛʁ/
l'enseignement à distance	/lɑ̃sɛɲmɑ̃ a distɑ̃s/
la classe moyenne	/la klas mwajɛn/
l'égalité des chances	/legalite de ʃɑ̃s/
les droits de la personne	/le dʁwa də la pɛʁsɔn/
la banque alimentaire	/la bɑ̃k alimɑ̃tɛʁ/
l'organisme communautaire	/lɔʁganism kɔmynotɛʁ/
le fossé des générations	/lə fose de ʒeneʁasjɔ̃/
la famille monoparentale	/la famij mɔnɔpaʁɑ̃tal/
élever des enfants	/elve dez‿ɑ̃fɑ̃/
la garde partagée	/la gaʁd paʁtaʒe/
prendre soin de	/pʁɑ̃dʁ swɛ̃ də/
les changements climatiques	/le ʃɑ̃ʒmɑ̃ klimatik/
le réchauffement climatique	/lə ʁeʃofmɑ̃ klimatik/
les gaz à effet de serre (GES)	/le gaz‿a efɛ də sɛʁ/ / /ʒeəɛs/
l'empreinte carbone	/lɑ̃pʁɛ̃t kaʁbɔn/
le développement durable	/lə devlɔpmɑ̃ dyʁabl/
les énergies renouvelables	/lez‿enɛʁʒi ʁənuvlabl/
le gaspillage alimentaire	/lə gaspijaʒ alimɑ̃tɛʁ/
le plastique à usage unique	/lə plastik a yzaʒ ynik/
le tri sélectif / le recyclage	/lə tʁi selɛktif/ / /lə ʁəsiklaʒ/
les feux de forêt	/le fø də fɔʁɛ/
prendre conscience de	/pʁɑ̃dʁ kɔ̃sjɑ̃s də/
les réseaux sociaux	/le ʁezo sɔsjo/
l'intelligence artificielle (IA)	/lɛ̃teliʒɑ̃s aʁtifisjɛl/ / /ia/
le mot de passe	/lə mo də pas/
en ligne / hors ligne	/ɑ̃ liɲ/ / /ɔʁ liɲ/
la protection des données	/la pʁɔtɛksjɔ̃ de dɔne/
la désinformation / les fausses nouvelles	/la dezɛ̃fɔʁmasjɔ̃/ / /le fos nuvɛl/
le temps d'écran	/lə tɑ̃ dekʁɑ̃/
la fracture numérique	/la fʁaktyʁ nymeʁik/
essayer / la cabine d'essayage	/eseje/ / /la kabin desɛjaʒ/
en solde / les soldes	/ɑ̃ sɔld/ / /le sɔld/
la réservation / réserver une table	/la ʁezɛʁvasjɔ̃/ / /ʁezɛʁve yn tabl/
l'entrée / le plat principal / le dessert	/lɑ̃tʁe/ / /lə pla pʁɛ̃sipal/ / /lə desɛʁ/
l'allergie / être allergique à	/lalɛʁʒi/ / /ɛːtʁ alɛʁʒik a/
il fait froid / doux / humide	/il fɛ fʁwa/ / /il fɛ du/ / /il fɛ ymid/
l'avertissement météorologique	/lavɛʁtismɑ̃ meteɔʁɔlɔʒik/
faire du bénévolat / du sport / de la randonnée	/fɛʁ dy benevɔla/ / /fɛʁ dy spɔʁ/ / /fɛʁ də la ʁɑ̃dɔne/
le centre communautaire	/lə sɑ̃tʁ kɔmynotɛʁ/
l'inscription à une activité	/lɛ̃skʁipsjɔ̃ a yn‿aktivite/
s'occuper de	/sɔkype də/
se rendre compte de / que	/sə ʁɑ̃dʁ kɔ̃t də/ / /sə ʁɑ̃dʁ kɔ̃t kə/
réussir à + 原形	/ʁeysiʁ a …/
arriver à + 原形	/aʁive a …/
décider de + 原形	/deside də …/
essayer de + 原形	/eseje də …/
commencer à / finir de	/kɔmɑ̃se a/ / /finiʁ də/
penser à / penser de	/pɑ̃se a/ / /pɑ̃se də/
manquer de / manquer à	/mɑ̃ke də/ / /mɑ̃ke a/
s'attendre à	/satɑ̃dʁ a/
s'habituer à	/sabitɥe a/
se plaindre de	/sə plɛ̃dʁ də/
profiter de	/pʁɔfite də/
participer à	/paʁtisipe a/
convenir à / convenir de	/kɔ̃vniʁ a/ / /kɔ̃vniʁ də/
assister à	/asiste a/
passer un examen	/pase œ̃n‿ɛgzamɛ̃/
les / des 在形容词前	/le/ / /de/
veuillez + 原形	/vœje …/
nous vous informons que	/nu vuz‿ɛ̃fɔʁmɔ̃ kə/
en raison de	/ɑ̃ ʁɛzɔ̃ də/
à compter du / à partir du	/a kɔ̃te dy/ / /a paʁtiʁ dy/
jusqu'à nouvel ordre	/ʒyska nuvɛl‿ɔʁdʁ/
est susceptible de	/ɛ sysɛptibl də/
il est interdit de / défense de	/il ɛt‿ɛ̃tɛʁdi də/ / /defɑ̃s də/
il est obligatoire de	/il ɛt‿ɔbligatwaʁ də/
sous réserve de	/su ʁezɛʁv də/
dans les plus brefs délais	/dɑ̃ le ply bʁɛf delɛ/
prière de	/pʁijɛʁ də/
entrer en vigueur	/ɑ̃tʁe ɑ̃ vigœʁ/
être en vigueur	/ɛːtʁ ɑ̃ vigœʁ/
à louer / à vendre	/a lwe/ / /a vɑ̃dʁ/
libre immédiatement	/libʁ imedjatmɑ̃/
tout inclus / tout compris	/tut‿ɛ̃kly/ / /tu kɔ̃pʁi/
proche de / à deux pas de	/pʁɔʃ də/ / /a dø pa də/
s'adresser à / contacter	/sadʁese a/ / /kɔ̃takte/
références exigées	/ʁefeʁɑ̃s ɛgziʒe/
expérience souhaitée / exigée	/ɛkspeʁjɑ̃s swete/ / /ɛkspeʁjɑ̃s ɛgziʒe/
faire parvenir votre CV	/fɛʁ paʁvəniʁ vɔtʁ seve/
