# ipa-en-manual.tsv —— 手写音标，build-data 合并时优先于 ipa-en.tsv
# build:ipa 不会覆盖这份表。收录词典查不到的单词（英式拼写、连字符词、新词、缩写）和所有多词语块
# 短语按连读实际读法转写：只给实词标重音，功能词用弱读（to /tə/、of /əv/、and /ən/……），不是逐词拼接
# 符号体系与 ipa-en.tsv（ipa-dict en_US）一致：ɹ ɫ ɝ ɑ oʊ；占位符写成 …
# 格式：<词条><TAB><音标>，词条须与 _src.psv 第 3 列完全一致
Is there any way we could sort this out?	/ɪz ðɝ ˈɛni ˈweɪ wi kəd ˈsɔɹt ðɪs ˈaʊt/
Congratulations on + n./V-ing	/kənˌɡɹætʃəˈɫeɪʃənz ɑn …/
I'm so happy for you	/aɪm ˈsoʊ ˈhæpi fɝ ju/
You really went above and beyond	/ju ˈɹɪɫi ˈwɛnt əˈbəv ən biˈjɑnd/
I can't thank you enough	/aɪ ˈkænt ˈθæŋk ju ɪˈnəf/
That means a lot to me	/ðæt ˈminz ə ˈɫɑt tə mi/
Does that work for you?	/dəz ˈðæt ˈwɝk fɝ ju/
Just let me know either way	/dʒəst ˈɫɛt mi ˈnoʊ ˈiðɝ ˈweɪ/
I'll keep you posted	/aɪɫ ˈkip ju ˈpoʊstɪd/
I'll get back to you on that	/aɪɫ ˈɡɛt ˈbæk tə ju ɑn ˈðæt/
bar chart / bar graph	/ˈbɑɹ ˌtʃɑɹt/ / /ˈbɑɹ ˌɡɹæf/
line graph	/ˈɫaɪn ˌɡɹæf/
pie chart	/ˈpaɪ ˌtʃɑɹt/
flow chart / process diagram	/ˈfɫoʊ ˌtʃɑɹt/ / /ˈpɹɑsɛs ˈdaɪəˌɡɹæm/
floor plan / map	/ˈfɫɔɹ ˌpɫæn/ / /ˈmæp/
the x-axis / the y-axis	/ði ˈɛksˌæksɪs/ / /ðə ˈwaɪˌæksɪs/
The chart illustrates	/ðə ˈtʃɑɹt ˈɪɫəˌstɹeɪts/
provide an overview of	/pɹəˈvaɪd ən ˈoʊvɝˌvju əv/
be broken down by	/bi ˈbɹoʊkən ˈdaʊn baɪ/
pick up	/ˈpɪk ˈəp/
taper off	/ˈteɪpɝ ˈɔf/
remain stable / level off	/ɹɪˈmeɪn ˈsteɪbəɫ/ / /ˈɫɛvəɫ ˈɔf/
the lowest point / bottom out	/ðə ˈɫoʊəst ˈpɔɪnt/ / /ˈbɑtəm ˈaʊt/
account for	/əˈkaʊnt fɔɹ/
make up	/ˈmeɪk ˈəp/
twice as many as	/ˈtwaɪs əz ˈmɛni æz/
compared with / in contrast to	/kəmˈpɛɹd wɪð/ / /ɪn ˈkɑnˌtɹæst tu/
Overall, it is clear that	/ˌoʊvɝˈɔɫ ɪt ɪz ˈkɫɪɹ ðət/
argue that	/ˈɑɹɡju ðət/
claim that	/ˈkɫeɪm ðət/
emphasise	/ˈɛmfəˌsaɪz/
attribute A to B	/əˈtɹɪbjut ˈeɪ tə ˈbi/
point out	/ˈpɔɪnt ˈaʊt/
conclude that	/kənˈkɫud ðət/
which suggests that	/wɪtʃ səɡˈdʒɛsts ðət/
while acknowledging that	/waɪɫ əkˈnɑɫɪdʒɪŋ ðət/
by + V-ing	/baɪ …/
in addition to	/ɪn əˈdɪʃən tu/
on the contrary	/ɑn ðə ˈkɑnˌtɹɛɹi/
despite / in spite of	/dɪˈspaɪt/ / /ɪn ˈspaɪt əv/
consequently / as a result	/ˈkɑnsəkwəntɫi/ / /æz ə ɹɪˈzəɫt/
since / given that	/ˈsɪns/ / /ˈɡɪvən ðət/
for instance / such as	/fɝ ˈɪnstəns/ / /ˈsətʃ æz/
in short / to sum up	/ɪn ˈʃɔɹt/ / /tə ˈsəm ˈəp/
job posting / job ad	/ˈdʒɑb ˌpoʊstɪŋ/ / /ˈdʒɑb ˌæd/
résumé / CV	/ˈɹɛzəˌmeɪ/ / /ˌsiˈvi/
cover letter	/ˈkəvɝ ˌɫɛtɝ/
apply for a position	/əˈpɫaɪ fɝ ə pəˈzɪʃən/
shortlist	/ˈʃɔɹtˌɫɪst/
job interview	/ˈdʒɑb ˌɪntɝˌvju/
hands-on experience	/ˈhændzˌɑn ɪkˈspɪɹiəns/
transferable skills	/tɹænsˈfɝəbəɫ ˈskɪɫz/
be a good fit for	/bi ə ˈɡʊd ˈfɪt fɔɹ/
probation period	/pɹoʊˈbeɪʃən ˌpɪɹiəd/
full-time / part-time	/ˈfʊɫˈtaɪm/ / /ˈpɑɹtˈtaɪm/
shift work	/ˈʃɪft ˌwɝk/
benefits package	/ˈbɛnəfɪts ˌpækɪdʒ/
paid leave	/ˈpeɪd ˈɫiv/
sick leave	/ˈsɪk ˌɫiv/
parental leave	/pəˈɹɛntəɫ ˈɫiv/
notice period	/ˈnoʊtɪs ˌpɪɹiəd/
be entitled to	/bi ɪnˈtaɪtəɫd tu/
severance pay	/ˈsɛvəɹəns ˌpeɪ/
supervisor / line manager	/ˈsupɝˌvaɪzɝ/ / /ˈɫaɪn ˌmænədʒɝ/
cover a shift	/ˈkəvɝ ə ˈʃɪft/
call in sick	/ˈkɔɫ ɪn ˈsɪk/
take time off	/ˈteɪk ˈtaɪm ˈɔf/
clock in / clock out	/ˈkɫɑk ˈɪn/ / /ˈkɫɑk ˈaʊt/
be short-staffed	/bi ˈʃɔɹtˈstæft/
fill in for someone	/ˈfɪɫ ˈɪn fɝ ˈsəmˌwən/
hand in / submit	/ˈhænd ˈɪn/ / /səbˈmɪt/
timesheet	/ˈtaɪmˌʃit/
postpone / put off	/poʊstˈpoʊn/ / /ˈpʊt ˈɔf/
bring forward	/ˈbɹɪŋ ˈfɔɹwɝd/
follow up on	/ˈfɑɫoʊ ˈəp ɑn/
touch base	/ˈtətʃ ˈbeɪs/
run behind schedule	/ˈɹən bɪˈhaɪnd ˈskɛdʒuɫ/
on track	/ɑn ˈtɹæk/
within budget	/wɪˈðɪn ˈbədʒɪt/
allocate resources	/ˈæɫəˌkeɪt ˈɹisɔɹsɪz/
prioritise	/pɹaɪˈɔɹəˌtaɪz/
performance review	/pɝˈfɔɹməns ɹɪˌvju/
raise (US) / pay rise (UK)	/ˈɹeɪz/ / /ˈpeɪ ˌɹaɪz/
professional development	/pɹəˈfɛʃənəɫ dɪˈvɛɫəpmənt/
upskill	/ˈəpˌskɪɫ/
take on more responsibility	/ˈteɪk ɑn ˈmɔɹ ɹɪˌspɑnsəˈbɪɫəti/
meet expectations	/ˈmit ˌɛkspɛkˈteɪʃənz/
resign / hand in one's notice	/ɹɪˈzaɪn/ / /ˈhænd ɪn wənz ˈnoʊtɪs/
lay off	/ˈɫeɪ ˈɔf/
work-life balance	/ˈwɝkˈɫaɪf ˈbæɫəns/
conflict of interest	/ˈkɑnfɫɪkt əv ˈɪntɹəst/
health and safety	/ˈhɛɫθ ən ˈseɪfti/
workplace injury	/ˈwɝkˌpɫeɪs ˈɪndʒɝi/
remote work / telework	/ɹɪˈmoʊt ˈwɝk/ / /ˈtɛɫəˌwɝk/
hybrid model	/ˈhaɪbɹɪd ˈmɑdəɫ/
flexible hours / flextime	/ˈfɫɛksəbəɫ ˈaʊɝz/ / /ˈfɫɛksˌtaɪm/
self-employed / freelance	/ˌsɛɫfɪmˈpɫɔɪd/ / /ˈfɹiˌɫæns/
gig economy	/ˈɡɪɡ ɪˌkɑnəmi/
lease / tenancy agreement	/ˈɫis/ / /ˈtɛnənsi əˌɡɹimənt/
security deposit	/sɪˈkjʊɹəti dɪˌpɑzɪt/
property manager	/ˈpɹɑpɝti ˌmænədʒɝ/
move in / move out	/ˈmuv ˈɪn/ / /ˈmuv ˈaʊt/
furnished / unfurnished	/ˈfɝnɪʃt/ / /ənˈfɝnɪʃt/
one-bedroom unit	/ˈwənˈbɛdˌɹum ˈjunɪt/
bachelor apartment / studio	/ˈbætʃəɫɝ əˈpɑɹtmənt/ / /ˈstudiˌoʊ/
clogged / blocked drain	/ˈkɫɑɡd ˈdɹeɪn/ / /ˈbɫɑkt ˈdɹeɪn/
out of order	/ˈaʊt əv ˈɔɹdɝ/
maintenance request	/ˈmeɪntənəns ɹɪˌkwɛst/
air conditioning	/ˈɛɹ kənˌdɪʃənɪŋ/
wear and tear	/ˈwɛɹ ən ˈtɛɹ/
down payment	/ˈdaʊn ˌpeɪmənt/
property tax	/ˈpɹɑpɝti ˌtæks/
real estate agent / realtor	/ˈɹiɫ ɪˌsteɪt ˌeɪdʒənt/ / /ˈɹiəɫtɝ/
closing costs	/ˈkɫoʊzɪŋ ˌkɑsts/
condo fees	/ˈkɑndoʊ ˌfiz/
noise complaint	/ˈnɔɪz kəmˌpɫeɪnt/
keep the noise down	/ˈkip ðə ˈnɔɪz ˈdaʊn/
parking spot / space	/ˈpɑɹkɪŋ ˌspɑt/ / /ˈpɑɹkɪŋ ˌspeɪs/
curbside pickup	/ˈkɝbˌsaɪd ˈpɪkˌəp/
snow removal / shovelling	/ˈsnoʊ ɹɪˌmuvəɫ/ / /ˈʃəvəɫɪŋ/
community centre	/kəˈmjunəti ˌsɛntɝ/
make an appointment	/ˈmeɪk ən əˈpɔɪntmənt/
family doctor / GP	/ˈfæməɫi ˈdɑktɝ/ / /ˌdʒiˈpi/
walk-in clinic	/ˈwɔkˌɪn ˈkɫɪnɪk/
emergency room (ER)	/ɪˈmɝdʒənsi ˌɹum/ / /ˌiˈɑɹ/
over-the-counter	/ˌoʊvɝðəˈkaʊntɝ/
health card	/ˈhɛɫθ ˌkɑɹd/
extended health benefits	/ɪkˈstɛndɪd ˈhɛɫθ ˌbɛnəfɪts/
out-of-pocket	/ˌaʊtəvˈpɑkɪt/
waiting list	/ˈweɪtɪŋ ˌɫɪst/
come down with	/ˈkəm ˈdaʊn wɪð/
run a fever	/ˈɹən ə ˈfivɝ/
sore throat	/ˈsɔɹ ˈθɹoʊt/
chronic condition	/ˈkɹɑnɪk kənˈdɪʃən/
side effect	/ˈsaɪd ɪˌfɛkt/
recover from	/ɹɪˈkəvɝ fɹəm/
well-being	/ˌwɛɫˈbiɪŋ/
mental health	/ˈmɛntəɫ ˈhɛɫθ/
sedentary lifestyle	/ˈsɛdənˌtɛɹi ˈɫaɪfˌstaɪɫ/
balanced diet	/ˈbæɫənst ˈdaɪət/
work out	/ˈwɝk ˈaʊt/
cardio / strength training	/ˈkɑɹdiˌoʊ/ / /ˈstɹɛŋθ ˌtɹeɪnɪŋ/
immunisation / vaccination	/ˌɪmjənəˈzeɪʃən/ / /ˌvæksəˈneɪʃən/
first aid	/ˈfɝst ˈeɪd/
chequing account	/ˈtʃɛkɪŋ əˌkaʊnt/
savings account	/ˈseɪvɪŋz əˌkaʊnt/
debit card	/ˈdɛbɪt ˌkɑɹd/
e-transfer	/ˈiˌtɹænsfɝ/
direct deposit	/dɪˈɹɛkt dɪˈpɑzɪt/
interest rate	/ˈɪntɹəst ˌɹeɪt/
credit score	/ˈkɹɛdɪt ˌskɔɹ/
RRSP / TFSA	/ˌɑɹˌɑɹˌɛsˈpi/ / /ˌtiˌɛfˌɛsˈeɪ/
paycheque	/ˈpeɪˌtʃɛk/
income tax	/ˈɪnˌkəm ˌtæks/
file a tax return	/ˈfaɪɫ ə ˈtæks ɹɪˌtɝn/
tax refund	/ˈtæks ˌɹiˌfənd/
GST / HST	/ˌdʒiˌɛsˈti/ / /ˌeɪtʃˌɛsˈti/
be due	/bi ˈdu/
instalment	/ɪnˈstɔɫmənt/
cost of living	/ˈkɑst əv ˈɫɪvɪŋ/
Employment Insurance (EI)	/ɪmˈpɫɔɪmənt ɪnˈʃʊɹəns/ / /ˌiˈaɪ/
Canada Pension Plan (CPP)	/ˈkænədə ˈpɛnʃən ˌpɫæn/ / /ˌsiˌpiˈpi/
Social Insurance Number (SIN)	/ˈsoʊʃəɫ ɪnˈʃʊɹəns ˌnəmbɝ/ / /ˈsɪn/
Canada Child Benefit	/ˈkænədə ˈtʃaɪɫd ˈbɛnəfɪt/
public transit	/ˈpəbɫɪk ˈtɹænzɪt/
monthly pass	/ˈmənθɫi ˈpæs/
delay / be delayed	/dɪˈɫeɪ/ / /bi dɪˈɫeɪd/
rush hour	/ˈɹəʃ ˌaʊɝ/
driver's licence	/ˈdɹaɪvɝz ˌɫaɪsəns/
parking ticket	/ˈpɑɹkɪŋ ˌtɪkɪt/
winter tires	/ˈwɪntɝ ˌtaɪɝz/
carpool / rideshare	/ˈkɑɹˌpuɫ/ / /ˈɹaɪdˌʃɛɹ/
traffic congestion	/ˈtɹæfɪk kənˈdʒɛstʃən/
confirmation number	/ˌkɑnfɝˈmeɪʃən ˌnəmbɝ/
check in / check out	/ˈtʃɛk ˈɪn/ / /ˈtʃɛk ˈaʊt/
boarding pass	/ˈbɔɹdɪŋ ˌpæs/
carry-on / checked baggage	/ˈkæɹiˌɑn/ / /ˈtʃɛkt ˈbæɡɪdʒ/
cancellation policy	/ˌkænsəˈɫeɪʃən ˌpɑɫəsi/
refundable / non-refundable	/ɹɪˈfəndəbəɫ/ / /ˌnɑnɹɪˈfəndəbəɫ/
school board	/ˈskuɫ ˌbɔɹd/
enrol / enrolment	/ɪnˈɹoʊɫ/ / /ɪnˈɹoʊɫmənt/
credential evaluation	/kɹəˈdɛnʃəɫ ɪˌvæɫjuˈeɪʃən/
scholarship / bursary	/ˈskɑɫɝˌʃɪp/ / /ˈbɝsəɹi/
continuing education	/kənˈtɪnjuɪŋ ˌɛdʒəˈkeɪʃən/
settlement services	/ˈsɛtəɫmənt ˌsɝvɪsɪz/
LINC classes	/ˈɫɪŋk ˌkɫæsɪz/
customer service	/ˈkəstəmɝ ˈsɝvɪs/
order number	/ˈɔɹdɝ ˌnəmbɝ/
place an order	/ˈpɫeɪs ən ˈɔɹdɝ/
tracking number	/ˈtɹækɪŋ ˌnəmbɝ/
in stock / out of stock	/ɪn ˈstɑk/ / /ˈaʊt əv ˈstɑk/
backorder	/ˈbækˌɔɹdɝ/
free of charge	/ˈfɹi əv ˈtʃɑɹdʒ/
look into	/ˈɫʊk ˈɪntu/
resolve an issue	/ɹɪˈzɑɫv ən ˈɪʃu/
goodwill gesture	/ˌɡʊdˈwɪɫ ˈdʒɛstʃɝ/
feedback form / survey	/ˈfidˌbæk ˌfɔɹm/ / /ˈsɝˌveɪ/
Service Canada	/ˈsɝvɪs ˈkænədə/
municipality / city hall	/mjuˌnɪsəˈpæɫəti/ / /ˈsɪti ˈhɔɫ/
application form	/ˌæpɫəˈkeɪʃən ˌfɔɹm/
proof of address	/ˈpɹuf əv ˈæˌdɹɛs/
photo identification / photo ID	/ˈfoʊtoʊ aɪˌdɛntəfəˈkeɪʃən/ / /ˈfoʊtoʊ ˌaɪˈdi/
eligibility / be eligible for	/ˌɛɫɪdʒəˈbɪɫəti/ / /bi ˈɛɫɪdʒəbəɫ fɔɹ/
processing time	/ˈpɹɑsɛsɪŋ ˌtaɪm/
expire / expiry date	/ɪkˈspaɪɝ/ / /ɪkˈspaɪɹi ˌdeɪt/
permanent resident (PR)	/ˈpɝmənənt ˈɹɛzɪdənt/ / /ˌpiˈɑɹ/
work permit	/ˈwɝk ˌpɝmɪt/
Indigenous peoples	/ɪnˈdɪdʒənəs ˈpipəɫz/
food bank	/ˈfud ˌbæŋk/
affordability crisis	/əˌfɔɹdəˈbɪɫəti ˌkɹaɪsɪs/
log in / log out	/ˈɫɑɡ ˈɪn/ / /ˈɫɑɡ ˈaʊt/
reset a password	/ɹiˈsɛt ə ˈpæsˌwɝd/
back up	/ˈbæk ˈəp/
user-friendly	/ˌjuzɝˈfɹɛndɫi/
privacy / data breach	/ˈpɹaɪvəsi/ / /ˈdeɪtə ˌbɹitʃ/
artificial intelligence (AI)	/ˌɑɹtəˈfɪʃəɫ ɪnˈtɛɫədʒəns/ / /ˌeɪˈaɪ/
screen time	/ˈskɹin ˌtaɪm/
social media	/ˈsoʊʃəɫ ˈmidiə/
climate change	/ˈkɫaɪmət ˌtʃeɪndʒ/
carbon footprint	/ˈkɑɹbən ˈfʊtˌpɹɪnt/
renewable energy	/ɹɪˈnuəbəɫ ˈɛnɝdʒi/
single-use plastic	/ˈsɪŋɡəɫˌjus ˈpɫæstɪk/
extreme weather	/ɪkˈstɹim ˈwɛðɝ/
raise awareness	/ˈɹeɪz əˈwɛɹnəs/
take part in	/ˈteɪk ˈpɑɹt ɪn/
make a difference	/ˈmeɪk ə ˈdɪfɹəns/
carry out	/ˈkæɹi ˈaʊt/
set up	/ˈsɛt ˈəp/
take over	/ˈteɪk ˈoʊvɝ/
hand over	/ˈhænd ˈoʊvɝ/
sort out	/ˈsɔɹt ˈaʊt/
figure out	/ˈfɪɡjɝ ˈaʊt/
come up with	/ˈkəm ˈəp wɪð/
put together	/ˈpʊt təˈɡɛðɝ/
go over	/ˈɡoʊ ˈoʊvɝ/
run through	/ˈɹən ˈθɹu/
bring up	/ˈbɹɪŋ ˈəp/
turn down	/ˈtɝn ˈdaʊn/
call off	/ˈkɔɫ ˈɔf/
put off	/ˈpʊt ˈɔf/
catch up on	/ˈkætʃ ˈəp ɑn/
keep up with	/ˈkip ˈəp wɪð/
fill out / fill in	/ˈfɪɫ ˈaʊt/ / /ˈfɪɫ ˈɪn/
drop off / pick up	/ˈdɹɑp ˈɔf/ / /ˈpɪk ˈəp/
look after	/ˈɫʊk ˈæftɝ/
deal with	/ˈdiɫ wɪð/
get in touch with	/ˈɡɛt ɪn ˈtətʃ wɪð/
reach out to	/ˈɹitʃ ˈaʊt tu/
sign up for	/ˈsaɪn ˈəp fɔɹ/
drop out of	/ˈdɹɑp ˈaʊt əv/
take up	/ˈteɪk ˈəp/
cut back on	/ˈkət ˈbæk ɑn/
end up (with/V-ing)	/ˈɛnd ˈəp/
turn out	/ˈtɝn ˈaʊt/
break down	/ˈbɹeɪk ˈdaʊn/
run out of	/ˈɹən ˈaʊt əv/
put up with	/ˈpʊt ˈəp wɪð/
stand in for	/ˈstænd ˈɪn fɔɹ/
get by	/ˈɡɛt ˈbaɪ/
settle in	/ˈsɛtəɫ ˈɪn/
opt for / opt out	/ˈɑpt fɔɹ/ / /ˈɑpt ˈaʊt/
rule out	/ˈɹuɫ ˈaʊt/
meet a deadline / a requirement	/ˈmit ə ˈdɛdˌɫaɪn/ / /ˈmit ə ɹɪˈkwaɪɝmənt/
raise a concern / an issue	/ˈɹeɪz ə kənˈsɝn/ / /ˈɹeɪz ən ˈɪʃu/
address a problem	/əˈdɹɛs ə ˈpɹɑbɫəm/
make arrangements for	/ˈmeɪk əˈɹeɪndʒmənts fɔɹ/
take steps / take measures	/ˈteɪk ˈstɛps/ / /ˈteɪk ˈmɛʒɝz/
provide assistance	/pɹəˈvaɪd əˈsɪstəns/
reach an agreement	/ˈɹitʃ ən əˈɡɹimənt/
place an emphasis on	/ˈpɫeɪs ən ˈɛmfəsɪs ɑn/
play a key role in	/ˈpɫeɪ ə ˈki ˈɹoʊɫ ɪn/
pose a risk to	/ˈpoʊz ə ˈɹɪsk tu/
meet expectations / fall short of	/ˈmit ˌɛkspɛkˈteɪʃənz/ / /ˈfɑɫ ˈʃɔɹt əv/
conduct a survey / an interview	/kənˈdəkt ə ˈsɝˌveɪ/ / /kənˈdəkt ən ˈɪntɝˌvju/
