section|theme|fr|pos|en|zh|note|exemple
ARGU|因果结果|Par conséquent / Ainsi|adv.|Consequently / Thus|因此|正式因果|Par conséquent, la ville a modifié sa politique.
ARGU|因果结果|C'est pourquoi|loc.|That is why|这就是为什么|结果连接|C'est pourquoi je soutiens cette proposition.
ARGU|因果结果|Étant donné que|conj.|Given that|鉴于|正式引出原因|Étant donné que les ressources sont limitées, il faut choisir.
ARGU|因果结果|Grâce à / À cause de|prep.|Thanks to / Because of|多亏/由于|grâce à 褒义，à cause de 贬义，必须区分|Grâce à ce programme, j'ai trouvé un emploi.
ARGU|因果结果|avoir des répercussions sur|expr.|to have repercussions on|对……产生影响|高分搭配|Cela a des répercussions sur la vie quotidienne.
ARGU|结论|En conclusion / Pour conclure|loc.|In conclusion|总之|结尾必备|Pour conclure, je dirais que les deux approches sont complémentaires.
ARGU|结论|En somme / En définitive|loc.|All in all / Ultimately|总而言之|结尾轮换词|En définitive, la prudence s'impose.
ARGU|结论|il serait souhaitable de|expr.|it would be desirable to|最好能够|条件式建议，高分收尾|Il serait souhaitable de renforcer les contrôles.
ARGU|结论|un juste équilibre entre|expr.|a fair balance between|在……之间的平衡|万能折中结论|Il faut trouver un juste équilibre entre liberté et sécurité.
ARGU|结论|à condition que + 虚拟式|loc.|provided that|只要/条件是|带条件的结论，高分|Cette solution fonctionne, à condition que tous participent.
EE|Tâche1-称呼|Cher Monsieur / Chère Madame|expr.|Dear Sir / Dear Madam|尊敬的先生/女士|正式书信开头，形容词要配性|Chère Madame Tremblay,
EE|Tâche1-称呼|Salut + 名字|expr.|Hi + name|嗨，……|写给朋友，Tâche 1 常见|Salut Marie,
EE|Tâche1-称呼|Bonjour à tous|expr.|Hello everyone|大家好|写给群体（同事、邻居）|Bonjour à tous,
EE|Tâche1-开头|Je t'écris pour te parler de|expr.|I am writing to tell you about|我写信是想跟你说|非正式开头，tu 形式|Je t'écris pour te parler de mon déménagement.
EE|Tâche1-开头|Je vous écris afin de|expr.|I am writing in order to|我写信是为了|正式版，afin de 接原形|Je vous écris afin de signaler un problème.
EE|Tâche1-开头|J'espère que tu vas bien|expr.|I hope you are well|希望你一切都好|非正式垫句|Salut Paul, j'espère que tu vas bien !
EE|Tâche1-开头|Je me permets de vous contacter au sujet de|expr.|I am taking the liberty of contacting you about|冒昧就……联系您|最正式的开头，高分|Je me permets de vous contacter au sujet de l'annonce parue hier.
EE|Tâche1-开头|Suite à notre conversation|expr.|Further to our conversation|接我们之前的谈话|承接前文|Suite à notre conversation de mardi, voici les détails.
EE|Tâche1-请求|Pourriez-vous me faire savoir|expr.|Could you let me know|能否告知我|条件式礼貌请求|Pourriez-vous me faire savoir si la place est encore libre ?
EE|Tâche1-请求|Je vous serais reconnaissant(e) de|expr.|I would be grateful if you would|如蒙……不胜感激|最高级别礼貌，后接原形|Je vous serais reconnaissant de bien vouloir répondre rapidement.
EE|Tâche1-请求|Je vous prie de bien vouloir|expr.|I kindly ask you to|恳请您|正式书面请求|Je vous prie de bien vouloir examiner ma demande.
EE|Tâche1-请求|Serait-il possible de|expr.|Would it be possible to|是否可以|试探性请求|Serait-il possible d'obtenir un remboursement ?
EE|Tâche1-请求|J'aimerais que + 虚拟式|expr.|I would like … to|我希望……|aimer que 后必须虚拟式，考点|J'aimerais que vous me rappeliez demain.
EE|Tâche1-道歉|Je suis vraiment désolé(e) de|expr.|I am truly sorry for|我为……深感抱歉|后接原形或过去不定式|Je suis vraiment désolé de ne pas avoir répondu plus tôt.
EE|Tâche1-道歉|Veuillez m'excuser pour|expr.|Please excuse me for|请原谅我……|正式道歉，veuillez 是命令式|Veuillez m'excuser pour ce retard.
EE|Tâche1-道歉|Je vous prie de m'excuser|expr.|I beg your pardon|请您原谅|最正式道歉|Je vous prie de m'excuser pour ce contretemps.
EE|Tâche1-投诉|Je tiens à vous signaler que|expr.|I wish to report that|我要向您反映|投诉正式开场|Je tiens à vous signaler que le chauffage ne fonctionne plus.
EE|Tâche1-投诉|à plusieurs reprises|loc.|on several occasions|多次|强化投诉|Je vous ai contacté à plusieurs reprises, sans réponse.
EE|Tâche1-投诉|sans succès / en vain|loc.|without success / in vain|未果|投诉升级|J'ai essayé de vous joindre, mais en vain.
EE|Tâche1-投诉|Je compte sur vous pour|expr.|I am counting on you to|我指望您……|施压但礼貌|Je compte sur vous pour régler ce problème rapidement.
EE|Tâche1-投诉|dans les meilleurs délais|loc.|as soon as possible|尽快|正式催促，胜过 vite|Merci de traiter ma demande dans les meilleurs délais.
EE|Tâche1-结尾|Dans l'attente de votre réponse|expr.|Looking forward to your reply|静候回复|正式结尾固定句|Dans l'attente de votre réponse, je vous remercie.
EE|Tâche1-结尾|N'hésite pas à me contacter|expr.|Do not hesitate to contact me|随时联系我|非正式结尾|N'hésite pas à me contacter si tu as des questions.
EE|Tâche1-结尾|Je reste à votre disposition|expr.|I remain at your disposal|随时为您效劳|正式结尾高分|Je reste à votre disposition pour tout renseignement complémentaire.
EE|Tâche1-落款|Bien à toi / Bien à vous|expr.|Best wishes|祝好|偏熟识|Bien à toi, Jian
EE|Tâche1-落款|Je vous prie d'agréer mes salutations distinguées|expr.|Yours faithfully|顺致崇高敬意|最正式的法式落款，整句背下|Je vous prie d'agréer, Madame, mes salutations distinguées.
EE|Tâche1-落款|À bientôt ! / Bises|expr.|See you soon! / Hugs|回头见/亲亲|朋友之间，bises 只对熟人|À bientôt, Jian
EE|Tâche2-叙事|Il y a quelques mois|loc.|A few months ago|几个月前|Tâche 2 叙事开头|Il y a quelques mois, j'ai vécu une expérience marquante.
EE|Tâche2-叙事|Au début / Au bout de|loc.|At first / After (a period)|起初/经过……之后|时间推进|Au bout de trois semaines, tout allait mieux.
EE|Tâche2-叙事|Ce jour-là|loc.|That day|那天|叙事中定位时间|Ce jour-là, il neigeait énormément.
EE|Tâche2-叙事|Soudain / Tout à coup|adv.|Suddenly|突然|叙事转折|Tout à coup, la lumière s'est éteinte.
EE|Tâche2-叙事|Ce qui m'a le plus marqué(e), c'est|expr.|What struck me most was|最让我印象深刻的是|叙事加评论的桥梁句，高分|Ce qui m'a le plus marqué, c'est l'accueil des gens.
EE|Tâche2-叙事|J'ai été agréablement surpris(e) par|expr.|I was pleasantly surprised by|我惊喜地发现|正面评论|J'ai été agréablement surpris par la qualité du service.
EE|Tâche2-叙事|Avec le recul|loc.|In hindsight|回过头看|成熟评论视角，高分|Avec le recul, je pense que c'était la bonne décision.
EE|Tâche2-叙事|Cette expérience m'a appris que|expr.|This experience taught me that|这段经历让我明白|Tâche 2 万能结论句|Cette expérience m'a appris que la patience est essentielle.
EE|Tâche2-叙事|Je recommande vivement|expr.|I strongly recommend|我强烈推荐|带建议的收尾|Je recommande vivement cette activité à tout le monde.
EE|通用|il s'agit de|expr.|it is about / it concerns|涉及的是|无人称结构，书面高频|Il s'agit d'un problème récurrent.
EE|通用|mettre en place|expr.|to set up / to implement|建立/实施|万能高分动词搭配|La ville a mis en place un nouveau service.
EE|通用|faire face à|expr.|to face / to cope with|面对|高分搭配|Les nouveaux arrivants font face à plusieurs défis.
EE|通用|tenir compte de|expr.|to take into account|考虑到|正式搭配|Il faut tenir compte du coût de la vie.
EE|通用|avoir recours à|expr.|to resort to|求助于|书面高分|De plus en plus de gens ont recours au télétravail.
EE|通用|permettre de + 原形|v.|to make it possible to|使得可以|万能句型|Cette mesure permet de réduire les coûts.
EE|通用|empêcher de + 原形|v.|to prevent from|阻止|与 permettre 成对|Le bruit m'empêche de dormir.
CANADA|加法差异|la fin de semaine|n.f.|weekend|周末|魁北克不说 week-end，TCF 听力常出现|On se voit la fin de semaine prochaine ?
CANADA|机构|Service Canada|n.pr.|Service Canada|加拿大服务部|办 NAS、assurance-emploi|Je me suis rendu à un bureau de Service Canada.
CANADA|机构|la commission scolaire / le centre de services scolaire|n.f./n.m.|school board|教育局|魁北克 2020 年改名，两种说法都可能听到|Le centre de services scolaire a annoncé une journée pédagogique.
CANADA|移民身份|la résidence permanente|n.f.|permanent residence|永久居留|移民核心词|J'ai obtenu ma résidence permanente l'an dernier.
CANADA|移民身份|le résident permanent|n.m.|permanent resident|永久居民|身份称谓|Les résidents permanents peuvent travailler partout au Canada.
CANADA|移民身份|la citoyenneté canadienne|n.f.|Canadian citizenship|加拿大公民身份|入籍话题|La demande de citoyenneté prend plusieurs mois.
CANADA|移民身份|le permis de travail|n.m.|work permit|工作许可|临时身份|Mon permis de travail est valide deux ans.
CANADA|移民身份|le nouvel arrivant|n.m.|newcomer|新移民|加拿大官方常用词，比 immigrant 中性|Des ateliers gratuits sont offerts aux nouveaux arrivants.
CANADA|移民身份|l'équivalence de diplôme|n.f.|credential recognition|学历认证|就业障碍话题|L'équivalence de diplôme est un obstacle fréquent.
CANADA|移民身份|l'ordre professionnel|n.m.|professional order/regulatory body|职业行会|魁北克执业准入机构|Il faut être membre de l'ordre professionnel pour exercer.
CANADA|社会福利|le congé parental|n.m.|parental leave|育儿假|魁北克 RQAP 制度，社会议题|Le congé parental est partagé entre les deux parents.
CANADA|社会福利|les allocations familiales|n.f.pl.|child benefits|儿童福利金|家庭补贴|Les allocations familiales sont versées chaque mois.
CANADA|社会福利|la déclaration de revenus|n.f.|tax return|报税表|每年四月|J'ai produit ma déclaration de revenus en ligne.
CANADA|社会福利|le salaire minimum|n.m.|minimum wage|最低工资|社会议题|Le salaire minimum a augmenté en mai.
CANADA|冬季生活|la tempête de neige|n.f.|snowstorm|暴风雪|听力通知类高频|Les écoles sont fermées à cause de la tempête de neige.
CANADA|冬季生活|la pelle à neige|n.f.|snow shovel|雪铲|生活场景|J'ai acheté une pelle à neige au magasin.
CANADA|冬季生活|les pneus d'hiver|n.m.pl.|winter tires|冬季轮胎|魁北克法律强制，12月至3月|Les pneus d'hiver sont obligatoires au Québec.
CANADA|冬季生活|le facteur vent / le refroidissement éolien|n.m.|wind chill|体感温度|天气预报固定表达|Avec le facteur vent, on ressent moins vingt.
CANADA|文化生活|la cabane à sucre|n.f.|sugar shack|枫糖屋|魁北克春季文化传统|Au printemps, on va à la cabane à sucre en famille.
CANADA|文化生活|le sirop d'érable|n.m.|maple syrup|枫糖浆|加拿大符号|Le Québec produit la majorité du sirop d'érable mondial.
CANADA|文化生活|les Premières Nations / les Autochtones|n.f.pl./n.m.pl.|First Nations / Indigenous peoples|原住民|加拿大正确表述，社会议题必备|Les Autochtones représentent une part importante de l'histoire du pays.
CANADA|文化生活|la Loi 101 / la Charte de la langue française|n.f.|Bill 101 / Charter of the French Language|法语宪章|魁北克语言政策，社会议题核心|La Loi 101 impose le français comme langue de travail.
TRAVAIL|求职|l'offre d'emploi|n.f.|job posting|招聘启事|CE 小广告题高频|J'ai vu votre offre d'emploi sur votre site.
TRAVAIL|求职|le curriculum vitæ / le CV|n.m.|résumé / CV|简历|发音 cé-vé|Veuillez trouver ci-joint mon CV.
TRAVAIL|求职|la lettre de motivation|n.f.|cover letter|求职信|法语区必备文件|J'ai joint une lettre de motivation à ma candidature.
TRAVAIL|求职|poser sa candidature / postuler|v.|to apply|申请职位|postuler à un poste|Je souhaite postuler au poste d'adjoint administratif.
TRAVAIL|求职|l'entretien d'embauche / l'entrevue|n.m./n.f.|job interview|面试|加拿大说 entrevue，法国说 entretien|J'ai une entrevue vendredi matin.
TRAVAIL|求职|l'expérience professionnelle|n.f.|work experience|工作经验|简历核心|J'ai dix ans d'expérience professionnelle dans ce secteur.
TRAVAIL|求职|la période d'essai|n.f.|probation period|试用期|合同条款|La période d'essai dure trois mois.
TRAVAIL|雇佣条款|le contrat à durée indéterminée (CDI)|n.m.|permanent contract|无固定期限合同|与 CDD 成对，听力缩写|Il a signé un CDI le mois dernier.
TRAVAIL|雇佣条款|le contrat à durée déterminée (CDD)|n.m.|fixed-term contract|固定期限合同|临时合同|Mon CDD se termine en décembre.
TRAVAIL|雇佣条款|à temps plein / à temps partiel|loc.|full-time / part-time|全职/兼职|固定搭配|Je cherche un emploi à temps partiel.
TRAVAIL|雇佣条款|le salaire brut / net|n.m.|gross / net salary|税前/税后工资|工资单核心区分|Le salaire net est d'environ 3 000 dollars.
TRAVAIL|雇佣条款|les heures supplémentaires|n.f.pl.|overtime|加班|永远复数|Les heures supplémentaires sont payées à taux et demi.
TRAVAIL|雇佣条款|les avantages sociaux|n.m.pl.|employee benefits|福利待遇|加拿大求职核心词|Le poste offre de bons avantages sociaux.
TRAVAIL|雇佣条款|le congé payé|n.m.|paid leave|带薪假|福利|J'ai droit à trois semaines de congés payés.
TRAVAIL|雇佣条款|le congé de maladie|n.m.|sick leave|病假|请假场景|J'ai pris deux jours de congé de maladie.
TRAVAIL|日常职场|le supérieur hiérarchique / le patron|n.m.|line manager / boss|上司/老板|Tâche 3 明确提到的收件人类型|J'en ai parlé à mon supérieur hiérarchique.
TRAVAIL|日常职场|la charge de travail|n.f.|workload|工作量|协商与抱怨高频|Ma charge de travail a beaucoup augmenté.
TRAVAIL|日常职场|la date limite / l'échéance|n.f.|deadline|截止日期|respecter une échéance|Nous devons respecter l'échéance du 15 mai.
TRAVAIL|日常职场|l'ordre du jour|n.m.|agenda|议程|会议固定搭配|Voici l'ordre du jour de la réunion.
TRAVAIL|日常职场|le compte rendu|n.m.|minutes / report|纪要/汇报|Tâche 2 明确要求的文体|Je vous envoie le compte rendu de la réunion.
TRAVAIL|日常职场|remplacer quelqu'un|v.|to cover for someone|代班|同事互助场景|Peux-tu me remplacer samedi ?
TRAVAIL|日常职场|le mode hybride|n.m.|hybrid model|混合办公|疫情后热词|Nous fonctionnons en mode hybride.
TRAVAIL|日常职场|l'horaire flexible|n.m.|flexible hours|弹性工时|福利协商|L'horaire flexible facilite la conciliation travail-famille.
TRAVAIL|日常职场|la conciliation travail-famille|n.f.|work-life balance|工作与家庭平衡|魁北克高频社会议题表述|La conciliation travail-famille reste un défi.
TRAVAIL|职场问题|licencier / mettre à pied|v.|to dismiss / to lay off|解雇/临时裁员|mise à pied 是加拿大常用说法|Cinquante employés ont été mis à pied.
TRAVAIL|职场问题|la discrimination à l'embauche|n.f.|hiring discrimination|招聘歧视|移民就业议题|La discrimination à l'embauche touche les nouveaux arrivants.
TRAVAIL|职场问题|l'épuisement professionnel|n.m.|burnout|职业倦怠|魁北克正式说法，避免英语 burn-out|L'épuisement professionnel est en hausse.
TRAVAIL|职场问题|la santé et la sécurité au travail|n.f.|occupational health and safety|职业健康与安全|加拿大法定术语|La formation en santé et sécurité au travail est obligatoire.
TRAVAIL|职场问题|la pénurie de main-d'œuvre|n.f.|labour shortage|劳动力短缺|加拿大当前头号经济议题|La pénurie de main-d'œuvre touche tous les secteurs.
LOGEMENT|租房|la caution / le dépôt de garantie|n.f./n.m.|security deposit|押金|注意魁北克法律限制押金|La caution correspond à un mois de loyer.
LOGEMENT|租房|meublé / non meublé|adj.|furnished / unfurnished|带家具/不带家具|租房广告必读|L'appartement est entièrement meublé.
LOGEMENT|租房|un quatre et demi|n.m.|two-bedroom apartment|两室一厅|魁北克独有房型计数法，听力必懂|Nous louons un quatre et demi à Montréal.
LOGEMENT|租房|visiter un appartement|v.|to view an apartment|看房|不是 visit 旅游义|J'aimerais visiter l'appartement cette semaine.
LOGEMENT|租房|la petite annonce|n.f.|classified ad|分类小广告|CE 阅读题固定文体|J'ai répondu à une petite annonce.
LOGEMENT|维修|la fuite d'eau|n.f.|water leak|漏水|Tâche 1 投诉题最高频问题|Il y a une fuite d'eau sous l'évier.
LOGEMENT|维修|la panne / en panne|n.f./loc.|breakdown / out of order|故障/坏了|万能故障表达|L'ascenseur est en panne depuis trois jours.
LOGEMENT|邻里|le bruit / le tapage nocturne|n.m.|noise / night-time disturbance|噪音/夜间扰民|tapage nocturne 是法律用语|J'ai porté plainte pour tapage nocturne.
LOGEMENT|邻里|porter plainte|v.|to file a complaint|投诉/报案|正式动词搭配|Il a porté plainte auprès de la municipalité.
LOGEMENT|邻里|le règlement de l'immeuble|n.m.|building rules|楼宇管理规定|规章语境|Le règlement de l'immeuble interdit les animaux.
LOGEMENT|购房|acheter une maison|v.|to buy a house|买房|生活规划话题|Nous envisageons d'acheter une maison en banlieue.
LOGEMENT|购房|la mise de fonds|n.f.|down payment|首付|加拿大特有说法|La mise de fonds minimale est de cinq pour cent.
LOGEMENT|购房|les taxes municipales|n.f.pl.|property taxes|房产税|房主年度支出|Les taxes municipales sont payables en deux versements.
LOGEMENT|购房|le courtier immobilier|n.m.|real estate broker|房产经纪|加拿大说法|Notre courtier immobilier a organisé trois visites.
LOGEMENT|社会议题|la crise du logement|n.f.|housing crisis|住房危机|加拿大当前头号议题，Tâche 3 高频|La crise du logement frappe les jeunes familles.
LOGEMENT|社会议题|le logement abordable|n.m.|affordable housing|可负担住房|政策议题|La ville promet plus de logements abordables.
